table_id,num_classes,n_total,n_train,n_test,num_features,num_continuous,num_categorical,missing_rate,rf_balanced_accuracy,spearman_gt_single,spearman_gt_permutation,spearman_gt_drop_column,topk_gt_single,topk_gt_permutation,topk_gt_drop_column
90,4,482,409,73,14,6,8,0.04979253112033195,0.7807475419317526,0.8417582417582418,0.6131868131868132,0.3142857142857143,0.8,0.4,0.4
91,4,417,355,62,14,13,1,0.05258650222679,0.7899943709541233,0.8109890109890111,0.5252747252747253,0.18466343466042243,0.8,0.6,0.4
92,2,424,360,64,9,7,2,0.0500524109014675,0.9544534412955465,0.3666666666666667,0.326362689414732,0.28373076085276344,0.6,0.4,0.6
93,2,422,358,64,8,6,2,0.05390995260663507,0.8705882352941177,0.8862434338158116,0.9027075674773933,-0.0848625128695526,1.0,1.0,0.8
94,2,506,430,76,13,11,2,0.05031924597141989,0.8661028893587033,0.7417582417582418,0.049655597528932977,-0.07686227296375081,0.8,0.8,0.4
95,3,427,364,63,15,14,1,0.047462919594067135,0.8728715728715728,0.2321428571428571,0.7942767628710198,0.360248004759387,0.6,1.0,0.4
96,4,465,395,70,12,7,5,0.0496415770609319,0.8547619047619047,0.7062937062937064,0.5174825174825175,0.4484811774585485,0.6,0.8,0.8
97,2,409,348,61,8,5,3,0.05103911980440098,0.8565934065934067,0.5476190476190477,0.261904761904762,0.6099375455928333,0.6,0.6,0.8
98,3,499,424,75,15,9,6,0.04969939879759519,0.9333333333333332,0.4486150138101662,0.6751298488630614,0.46634999695565277,0.8,0.8,0.8
99,2,494,420,74,9,9,0,0.05083220872694557,0.9727941176470588,0.7999999999999999,0.4059604926204365,0.4059604926204365,0.8,0.6,0.6
